what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1295154497638
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1295154497638
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1295154497648
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1295154497660
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1295154497678
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1295154497689
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1295154497706
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1295154497716
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1295154497726
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1295154497734
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1295154497746
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1295154497749
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1295154497763
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1295154497785
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1295154497798
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1295154497798
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1295154497811
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1295154497828
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1295154497836
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1295154497840
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1295154497854
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1295154497866
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1295154497868
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1295154497874
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1295154497885
os,sysinfo,,,"win32",1295154497888
arch,sysinfo,,,"x86",1295154497888
ws,sysinfo,,,"win32",1295154497888
locale,sysinfo,,,"ja_JP",1295154497888
processors,sysinfo,,,"2",1295154497888
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295154497888
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1295154497889
java.specification.name,sysinfo,,,"Java Platform API Specification",1295154497889
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295154497889
java.specification.version,sysinfo,,,"1.6",1295154497889
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295154497889
java.version,sysinfo,,,"1.6.0_22",1295154497889
java.vm.info,sysinfo,,,"mixed mode, sharing",1295154497889
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295154497889
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295154497889
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295154497889
java.vm.specification.version,sysinfo,,,"1.0",1295154497889
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295154497889
java.vm.version,sysinfo,,,"17.1-b03",1295154497889
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295154499883
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1295154500445
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295154501890
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1295154503532
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1295154503703
started,bundle,org.eclipse.core.externaltools,1.0.0.v20100505,"org.eclipse.core.externaltools",1295154503773
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1295154511695
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295154575942
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1295154575960
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1295154577755
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1295154577897
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295154578166
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295154578858
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295154580118
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295154580317
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1295154580794
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1295154580808
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1295154580833
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1295154580845
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1295154580855
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1295154580867
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1295167743026
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1295167743027
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1295167743039
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1295167743049
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1295167743057
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1295167743065
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1295167743076
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1295167743083
