what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1295228559633
arch,sysinfo,,,"x86",1295228559633
ws,sysinfo,,,"win32",1295228559633
locale,sysinfo,,,"ja_JP",1295228559633
processors,sysinfo,,,"2",1295228559633
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295228559633
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1295228559633
java.specification.name,sysinfo,,,"Java Platform API Specification",1295228559633
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295228559633
java.specification.version,sysinfo,,,"1.6",1295228559633
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295228559633
java.version,sysinfo,,,"1.6.0_22",1295228559633
java.vm.info,sysinfo,,,"mixed mode, sharing",1295228559633
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295228559633
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295228559633
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295228559633
java.vm.specification.version,sysinfo,,,"1.0",1295228559633
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295228559633
java.vm.version,sysinfo,,,"17.1-b03",1295228559633
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295228562693
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295228564288
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295228567200
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295228570302
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.help.aboutAction",1295228570314
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295228571195
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1295228571811
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295228573322
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1295228574554
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1295228574701
started,bundle,org.eclipse.core.externaltools,1.0.0.v20100505,"org.eclipse.core.externaltools",1295228574773
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1295228580560
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295228605474
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1295228605495
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295228606124
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295228607211
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295228607370
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1295228608087
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1295228608109
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1295228608125
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1295228608139
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1295872622302
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1295872622303
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1295872622308
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1295872622311
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1295872622317
